Node Number	X Location (m)	Y Location (m)	Z Location (m)	
461	2,0098	-8,9441e-003	-7,4001e-002	
462	1,9608	-9,7499e-003	-7,4001e-002	
463	1,9117	-1,0556e-002	-7,4001e-002	
464	1,8627	-1,1361e-002	-7,4001e-002	
465	1,8136	-1,2167e-002	-7,4001e-002	
466	1,7646	-1,2973e-002	-7,4001e-002	
467	1,7155	-1,3779e-002	-7,4001e-002	
468	1,6665	-1,4584e-002	-7,4001e-002	
469	1,6174	-1,539e-002	-7,4001e-002	
470	1,5684	-1,6196e-002	-7,4001e-002	
471	1,5193	-1,7002e-002	-7,4001e-002	
472	1,4703	-1,7807e-002	-7,4001e-002	
473	1,4212	-1,8613e-002	-7,4001e-002	
474	1,3722	-1,9419e-002	-7,4001e-002	
475	1,3231	-2,0225e-002	-7,4001e-002	
476	1,2741	-2,103e-002	-7,4001e-002	
477	1,225	-2,1836e-002	-7,4001e-002	
478	1,176	-2,2642e-002	-7,4001e-002	
479	1,1269	-2,3448e-002	-7,4001e-002	
480	1,0779	-2,4253e-002	-7,4001e-002	
481	1,0288	-2,5059e-002	-7,4001e-002	
482	0,9798	-2,5865e-002	-7,4001e-002	
483	0,93075	-2,6671e-002	-7,4001e-002	
484	0,8817	-2,7476e-002	-7,4001e-002	
485	0,83265	-2,8282e-002	-7,4001e-002	
486	0,7836	-2,9088e-002	-7,4001e-002	
487	0,73455	-2,9894e-002	-7,4001e-002	
488	0,6855	-3,0699e-002	-7,4001e-002	
489	0,63645	-3,1505e-002	-7,4001e-002	
490	0,5874	-3,2311e-002	-7,4001e-002	
491	0,53835	-3,3117e-002	-7,4001e-002	
492	0,4893	-3,3922e-002	-7,4001e-002	
493	0,44025	-3,4728e-002	-7,4001e-002	
494	0,3912	-3,5534e-002	-7,4001e-002	
495	0,34215	-3,6339e-002	-7,4001e-002	
496	0,2931	-3,7145e-002	-7,4001e-002	
497	0,24405	-3,7951e-002	-7,4001e-002	
498	0,19495	-4,3001e-002	-7,2244e-002	
499	2,63	1,2433e-003	-8,0001e-002	
500	2,63	9,2234e-002	-8,0001e-002	
501	2,63	4,6739e-002	-8,0001e-002	
502	2,529	5,9739e-002	-8,0001e-002	
503	2,567	5,9739e-002	-8,0001e-002	
504	2,567	3,3739e-002	-8,0001e-002	
505	2,5762	3,7546e-002	-8,0001e-002	
506	2,58	4,6739e-002	-8,0001e-002	
507	2,5762	5,5931e-002	-8,0001e-002	
508	2,529	3,3739e-002	-8,0001e-002	
509	2,5198	5,5931e-002	-8,0001e-002	
510	2,516	4,6739e-002	-8,0001e-002	
511	2,5198	3,7546e-002	-8,0001e-002	
512	0,195	8,9486e-002	-7,4001e-002	
513	0,195	4,6739e-002	-7,4001e-002	
514	0,195	3,9909e-003	-7,4001e-002	
515	0,195	0,13223	-8,0001e-002	
521	2,5803	0,10505	-6,8001e-002	
522	2,5306	0,10587	-6,8001e-002	
523	2,4809	0,10669	-6,8001e-002	
524	2,4312	0,1075	-6,8001e-002	
525	2,3815	0,10832	-6,8001e-002	
526	2,3318	0,10913	-6,8001e-002	
527	2,2821	0,10995	-6,8001e-002	
528	2,2324	0,11077	-6,8001e-002	
529	2,1827	0,11158	-6,8001e-002	
530	2,133	0,1124	-6,8001e-002	
531	2,0833	0,11322	-6,8001e-002	
532	2,0336	0,11403	-6,8001e-002	
533	1,9839	0,11485	-6,8001e-002	
534	1,9343	0,11566	-6,8001e-002	
535	1,8846	0,11648	-6,8001e-002	
536	1,8349	0,1173	-6,8001e-002	
537	1,7852	0,11811	-6,8001e-002	
538	1,7355	0,11893	-6,8001e-002	
539	1,6858	0,11975	-6,8001e-002	
540	1,6361	0,12056	-6,8001e-002	
541	1,5864	0,12138	-6,8001e-002	
542	1,5367	0,1222	-6,8001e-002	
543	1,487	0,12301	-6,8001e-002	
544	1,4373	0,12383	-6,8001e-002	
545	1,3876	0,12464	-6,8001e-002	
546	1,3379	0,12546	-6,8001e-002	
547	1,2882	0,12628	-6,8001e-002	
548	1,2385	0,12709	-6,8001e-002	
549	1,1888	0,12791	-6,8001e-002	
550	1,1391	0,12873	-6,8001e-002	
551	1,0895	0,12954	-6,8001e-002	
552	1,0398	0,13036	-6,8001e-002	
553	0,99007	0,13117	-6,8001e-002	
554	0,94037	0,13199	-6,8001e-002	
555	0,89068	0,13281	-6,8001e-002	
556	0,84099	0,13362	-6,8001e-002	
