Node Number	X Location (m)	Y Location (m)	Z Location (m)	
4050	0,51339	0,341	3,95e-002	
4051	0,50339	0,341	3,95e-002	
4052	0,49339	0,341	3,95e-002	
4053	0,48339	0,341	3,95e-002	
4054	0,47339	0,341	3,95e-002	
4055	0,46339	0,341	3,95e-002	
4056	0,45339	0,341	3,95e-002	
4057	0,44339	0,341	3,95e-002	
4058	0,43339	0,341	3,95e-002	
4059	0,42339	0,341	3,95e-002	
4060	0,41339	0,341	3,95e-002	
4061	0,40339	0,341	3,95e-002	
4062	0,39339	0,341	3,95e-002	
4063	0,38339	0,341	3,95e-002	
4064	0,37339	0,341	3,95e-002	
4065	0,36339	0,341	3,95e-002	
4066	0,35339	0,341	3,95e-002	
4067	0,34339	0,341	3,95e-002	
4068	0,33339	0,341	3,95e-002	
4069	0,32339	0,341	3,95e-002	
4070	0,31339	0,341	3,95e-002	
4071	0,30339	0,341	3,95e-002	
4072	0,29339	0,341	3,95e-002	
4073	0,28339	0,341	3,95e-002	
4074	0,27339	0,341	3,95e-002	
4075	0,26339	0,341	3,95e-002	
4076	0,25339	0,341	3,95e-002	
4077	0,24339	0,341	3,95e-002	
4078	0,23339	0,341	3,95e-002	
4079	0,22339	0,341	3,95e-002	
4080	0,21339	0,341	3,95e-002	
4081	0,20339	0,341	3,95e-002	
4082	0,19339	0,341	3,95e-002	
4083	0,18339	0,341	3,95e-002	
4084	0,17339	0,341	3,95e-002	
4085	0,16339	0,341	3,95e-002	
4086	0,15339	0,341	3,95e-002	
4087	0,14339	0,341	3,95e-002	
4088	0,13339	0,341	3,95e-002	
4089	0,12339	0,341	3,95e-002	
4090	0,11339	0,341	3,95e-002	
4091	0,10339	0,341	3,95e-002	
4092	9,3385e-002	0,341	3,95e-002	
4093	8,3385e-002	0,341	3,95e-002	
4094	7,3385e-002	0,341	3,95e-002	
4095	6,3385e-002	0,341	3,95e-002	
4096	5,3385e-002	0,341	3,95e-002	
4097	4,3385e-002	0,341	3,95e-002	
4098	3,3385e-002	0,341	3,95e-002	
4099	2,3385e-002	0,341	3,95e-002	
4100	1,3385e-002	0,341	3,95e-002	
4101	3,3854e-003	0,341	3,95e-002	
4102	-6,6146e-003	0,341	3,95e-002	
4103	-1,6615e-002	0,341	3,95e-002	
4104	-2,6615e-002	0,341	3,95e-002	
4105	-3,6615e-002	0,341	3,95e-002	
4106	-4,6615e-002	0,341	3,95e-002	
4107	-5,6615e-002	0,341	3,95e-002	
4108	-6,6615e-002	0,341	3,95e-002	
4109	-7,6615e-002	0,341	3,95e-002	
4110	-8,6615e-002	0,341	3,95e-002	
4111	-9,6615e-002	0,341	3,95e-002	
4112	-0,10661	0,341	3,95e-002	
4113	-0,11661	0,341	3,95e-002	
4114	-0,12661	0,341	3,95e-002	
4115	-0,13661	0,341	3,95e-002	
4116	-0,14661	0,341	3,95e-002	
4117	-0,15661	0,341	3,95e-002	
4118	-0,16661	0,341	3,95e-002	
4119	-0,17661	0,341	3,95e-002	
4120	-0,18661	0,341	3,95e-002	
4121	-0,19661	0,341	3,95e-002	
4122	-0,20661	0,341	3,95e-002	
4123	-0,21661	0,341	3,95e-002	
4124	-0,22661	0,341	3,95e-002	
4125	-0,23661	0,341	3,95e-002	
4126	-0,24661	0,341	3,95e-002	
4127	-0,25661	0,341	3,95e-002	
4128	-0,26661	0,341	3,95e-002	
4129	-0,27661	0,341	3,95e-002	
4130	-0,28661	0,341	3,95e-002	
4131	-0,29661	0,341	3,95e-002	
4132	-0,30661	0,341	3,95e-002	
4133	-0,31661	0,341	3,95e-002	
4134	-0,32661	0,341	3,95e-002	
4135	-0,33661	0,341	3,95e-002	
4136	-0,34661	0,341	3,95e-002	
4137	-0,35661	0,341	3,95e-002	
4138	-0,36661	0,341	3,95e-002	
4139	-0,37661	0,341	3,95e-002	
4140	-0,38661	0,341	3,95e-002	
4141	-0,39661	0,341	3,95e-002	
4142	-0,40661	0,341	3,95e-002	
4143	-0,41661	0,341	3,95e-002	
4144	-0,42661	0,341	2,9625e-002	
4145	-0,42661	0,341	1,975e-002	
4146	-0,42661	0,341	9,875e-003	
4147	-0,42661	0,341	-3,4694e-018	
4148	-0,42661	0,341	-9,875e-003	
4149	-0,42661	0,341	-1,975e-002	
4150	-0,42661	0,341	-2,9625e-002	
4151	1,3444	0,341	0,	
4152	1,3364	0,341	0,	
4153	1,3432	0,341	2,8284e-003	
4154	1,3404	0,341	4,e-003	
4155	1,3376	0,341	2,8284e-003	
4156	1,3376	0,341	-2,8284e-003	
4157	1,3404	0,341	-4,e-003	
4158	1,3432	0,341	-2,8284e-003	
4159	1,3444	0,347	0,	
4160	1,3364	0,347	0,	
4161	1,3432	0,347	2,8284e-003	
4162	1,3404	0,347	4,e-003	
4163	1,3376	0,347	2,8284e-003	
4164	1,3376	0,347	-2,8284e-003	
4165	1,3404	0,347	-4,e-003	
4166	1,3432	0,347	-2,8284e-003	
4167	-0,42661	0,347	-3,95e-002	
4168	-0,42661	0,347	3,95e-002	
4169	-0,42661	0,347	2,9625e-002	
4170	-0,42661	0,347	1,975e-002	
4171	-0,42661	0,347	9,875e-003	
4172	-0,42661	0,347	-3,4694e-018	
4173	-0,42661	0,347	-9,875e-003	
4174	-0,42661	0,347	-1,975e-002	
4175	-0,42661	0,347	-2,9625e-002	
4176	1,8434	0,347	-3,95e-002	
4177	1,8434	0,347	3,95e-002	
4178	1,8434	0,347	-2,9625e-002	
4179	1,8434	0,347	-1,975e-002	
4180	1,8434	0,347	-9,875e-003	
4181	1,8434	0,347	3,4694e-018	
4182	1,8434	0,347	9,875e-003	
4183	1,8434	0,347	1,975e-002	
4184	1,8434	0,347	2,9625e-002	
4185	-0,42661	0,335	-4,55e-002	
4186	-0,42661	0,33924	-4,3743e-002	
4187	1,8434	0,335	-4,55e-002	
4188	1,8334	0,335	-4,55e-002	
4189	1,8234	0,335	-4,55e-002	
4190	1,8134	0,335	-4,55e-002	
4191	1,8034	0,335	-4,55e-002	
4192	1,7934	0,335	-4,55e-002	
4193	1,7834	0,335	-4,55e-002	
4194	1,7734	0,335	-4,55e-002	
4195	1,7634	0,335	-4,55e-002	
4196	1,7534	0,335	-4,55e-002	
4197	1,7434	0,335	-4,55e-002	
4198	1,7334	0,335	-4,55e-002	
4199	1,7234	0,335	-4,55e-002	
4200	1,7134	0,335	-4,55e-002	
4201	1,7034	0,335	-4,55e-002	
4202	1,6934	0,335	-4,55e-002	
4203	1,6834	0,335	-4,55e-002	
4204	1,6734	0,335	-4,55e-002	
4205	1,6634	0,335	-4,55e-002	
4206	1,6534	0,335	-4,55e-002	
4207	1,6434	0,335	-4,55e-002	
4208	1,6334	0,335	-4,55e-002	
4209	1,6234	0,335	-4,55e-002	
4210	1,6134	0,335	-4,55e-002	
4211	1,6034	0,335	-4,55e-002	
4212	1,5934	0,335	-4,55e-002	
4213	1,5834	0,335	-4,55e-002	
4214	1,5734	0,335	-4,55e-002	
4215	1,5634	0,335	-4,55e-002	
4216	1,5534	0,335	-4,55e-002	
4217	1,5434	0,335	-4,55e-002	
4218	1,5334	0,335	-4,55e-002	
4219	1,5234	0,335	-4,55e-002	
4220	1,5134	0,335	-4,55e-002	
4221	1,5034	0,335	-4,55e-002	
4222	1,4934	0,335	-4,55e-002	
4223	1,4834	0,335	-4,55e-002	
4224	1,4734	0,335	-4,55e-002	
4225	1,4634	0,335	-4,55e-002	
4226	1,4534	0,335	-4,55e-002	
4227	1,4434	0,335	-4,55e-002	
4228	1,4334	0,335	-4,55e-002	
4229	1,4234	0,335	-4,55e-002	
4230	1,4134	0,335	-4,55e-002	
4231	1,4034	0,335	-4,55e-002	
4232	1,3934	0,335	-4,55e-002	
4233	1,3834	0,335	-4,55e-002	
4234	1,3734	0,335	-4,55e-002	
4235	1,3634	0,335	-4,55e-002	
4236	1,3534	0,335	-4,55e-002	
4237	1,3434	0,335	-4,55e-002	
4238	1,3334	0,335	-4,55e-002	
4239	1,3234	0,335	-4,55e-002	
4240	1,3134	0,335	-4,55e-002	
4241	1,3034	0,335	-4,55e-002	
4242	1,2934	0,335	-4,55e-002	
4243	1,2834	0,335	-4,55e-002	
4244	1,2734	0,335	-4,55e-002	
4245	1,2634	0,335	-4,55e-002	
4246	1,2534	0,335	-4,55e-002	
4247	1,2434	0,335	-4,55e-002	
4248	1,2334	0,335	-4,55e-002	
4249	1,2234	0,335	-4,55e-002	
4250	1,2134	0,335	-4,55e-002	
4251	1,2034	0,335	-4,55e-002	
4252	1,1934	0,335	-4,55e-002	
4253	1,1834	0,335	-4,55e-002	
4254	1,1734	0,335	-4,55e-002	
4255	1,1634	0,335	-4,55e-002	
4256	1,1534	0,335	-4,55e-002	
4257	1,1434	0,335	-4,55e-002	
4258	1,1334	0,335	-4,55e-002	
4259	1,1234	0,335	-4,55e-002	
4260	1,1134	0,335	-4,55e-002	
4261	1,1034	0,335	-4,55e-002	
4262	1,0934	0,335	-4,55e-002	
4263	1,0834	0,335	-4,55e-002	
4264	1,0734	0,335	-4,55e-002	
4265	1,0634	0,335	-4,55e-002	
4266	1,0534	0,335	-4,55e-002	
4267	1,0434	0,335	-4,55e-002	
4268	1,0334	0,335	-4,55e-002	
4269	1,0234	0,335	-4,55e-002	
4270	1,0134	0,335	-4,55e-002	
4271	1,0034	0,335	-4,55e-002	
4272	0,99339	0,335	-4,55e-002	
4273	0,98339	0,335	-4,55e-002	
4274	0,97339	0,335	-4,55e-002	
4275	0,96339	0,335	-4,55e-002	
4276	0,95339	0,335	-4,55e-002	
4277	0,94339	0,335	-4,55e-002	
4278	0,93339	0,335	-4,55e-002	
4279	0,92339	0,335	-4,55e-002	
4280	0,91339	0,335	-4,55e-002	
4281	0,90339	0,335	-4,55e-002	
4282	0,89339	0,335	-4,55e-002	
4283	0,88339	0,335	-4,55e-002	
4284	0,87339	0,335	-4,55e-002	
4285	0,86339	0,335	-4,55e-002	
4286	0,85339	0,335	-4,55e-002	
4287	0,84339	0,335	-4,55e-002	
4288	0,83339	0,335	-4,55e-002	
4289	0,82339	0,335	-4,55e-002	
4290	0,81339	0,335	-4,55e-002	
4291	0,80339	0,335	-4,55e-002	
4292	0,79339	0,335	-4,55e-002	
4293	0,78339	0,335	-4,55e-002	
4294	0,77339	0,335	-4,55e-002	
4295	0,76339	0,335	-4,55e-002	
4296	0,75339	0,335	-4,55e-002	
4297	0,74339	0,335	-4,55e-002	
4298	0,73339	0,335	-4,55e-002	
4299	0,72339	0,335	-4,55e-002	
4300	0,71339	0,335	-4,55e-002	
4301	0,70339	0,335	-4,55e-002	
4302	0,69339	0,335	-4,55e-002	
4303	0,68339	0,335	-4,55e-002	
4304	0,67339	0,335	-4,55e-002	
4305	0,66339	0,335	-4,55e-002	
4306	0,65339	0,335	-4,55e-002	
4307	0,64339	0,335	-4,55e-002	
4308	0,63339	0,335	-4,55e-002	
4309	0,62339	0,335	-4,55e-002	
4310	0,61339	0,335	-4,55e-002	
4311	0,60339	0,335	-4,55e-002	
4312	0,59339	0,335	-4,55e-002	
4313	0,58339	0,335	-4,55e-002	
4314	0,57339	0,335	-4,55e-002	
4315	0,56339	0,335	-4,55e-002	
4316	0,55339	0,335	-4,55e-002	
4317	0,54339	0,335	-4,55e-002	
4318	0,53339	0,335	-4,55e-002	
