Node Number	X Location (m)	Y Location (m)	Z Location (m)	
468	-0,11083	0,23577	-0,1215	
469	-0,10931	0,23743	-0,1195	
470	-0,10969	0,23739	-0,12098	
471	-0,10935	0,23588	-0,11961	
472	-0,11095	0,23622	-0,12256	
473	-0,11129	0,23781	-0,12256	
474	-0,10937	0,23764	-0,1206	
475	-0,10976	0,23783	-0,12204	
476	-7,854e-002	0,24158	-0,11673	
477	-7,854e-002	0,23928	-0,11673	
478	-7,85e-002	0,24043	-0,1155	
479	-8,0562e-002	0,24043	-0,1165	
480	-7,8734e-002	0,2432	-0,11835	
481	-7,8534e-002	0,24149	-0,11594	
482	-8,0616e-002	0,24153	-0,11671	
483	-7,9048e-002	0,24465	-0,11594	
484	-8,0654e-002	0,24294	-0,11785	
485	-7,9914e-002	0,24307	-0,11644	
486	-7,8734e-002	0,2432	-0,12065	
487	-7,9171e-002	0,24509	-0,117	
488	-7,9171e-002	0,24509	-0,1215	
489	-8,0721e-002	0,24338	-0,11894	
490	-7,9983e-002	0,24351	-0,1175	
491	-8,0964e-002	0,24501	-0,11832	
492	-8,1096e-002	0,24419	-0,12067	
493	-7,854e-002	0,24158	-0,12227	
494	-7,9048e-002	0,24465	-0,12256	
495	-8,0657e-002	0,24338	-0,12004	
496	-8,064e-002	0,24182	-0,12216	
497	-8,1027e-002	0,24375	-0,12173	
498	-7,854e-002	0,23928	-0,12227	
499	-7,85e-002	0,24043	-0,123	
500	-7,8798e-002	0,23731	-0,123	
501	-7,8798e-002	0,24355	-0,123	
502	-8,0558e-002	0,23832	-0,12163	
503	-8,0573e-002	0,24071	-0,12249	
504	-7,8734e-002	0,23766	-0,12065	
505	-7,9048e-002	0,23622	-0,12256	
506	-8,0623e-002	0,23764	-0,1206	
507	-7,8734e-002	0,23766	-0,11835	
508	-7,9171e-002	0,23577	-0,117	
509	-7,9171e-002	0,23577	-0,1215	
510	-8,0688e-002	0,23743	-0,1195	
511	-7,8534e-002	0,23938	-0,11594	
512	-8,0616e-002	0,23933	-0,11671	
513	-7,9048e-002	0,23622	-0,11594	
514	-8,0621e-002	0,23764	-0,1184	
515	-8,1282e-002	0,23756	-0,11602	
516	-0,11127	0,2432	-0,12065	
517	-0,11095	0,24465	-0,12256	
518	-0,11129	0,24305	-0,12256	
519	-0,10934	0,24338	-0,12004	
520	-0,10936	0,24182	-0,12216	
521	-0,10864	0,24489	-0,12127	
522	-0,11127	0,2432	-0,11835	
523	-0,11083	0,24509	-0,117	
524	-0,11083	0,24509	-0,1215	
525	-0,10927	0,24338	-0,11894	
526	-0,10857	0,24533	-0,12021	
527	-0,11147	0,24149	-0,11594	
528	-0,10938	0,24153	-0,11671	
529	-0,11095	0,24465	-0,11594	
530	-0,10934	0,24294	-0,11785	
